sample_id,user_id,label,video_path,video_exists,skeleton_status
20260705_214107_b894ld,user1,ঈ,output/user1/ঈ/ঈ_20260705_214107_b894ld.mp4,True,ready
20260705_215457_yruoxw,user1,ঈ,output/user1/ঈ/ঈ_20260705_215457_yruoxw.mp4,True,ready
20260705_215539_dr61qv,user1,ঈ,output/user1/ঈ/ঈ_20260705_215539_dr61qv.mp4,True,ready
20260705_215654_07cd7w,user1,ঈ,output/user1/ঈ/ঈ_20260705_215654_07cd7w.mp4,True,ready
20260705_215745_i5n9h7,user1,ঈ,output/user1/ঈ/ঈ_20260705_215745_i5n9h7.mp4,True,ready
20260704_232121_lcxi4y,user2,অ,output/user2/অ/অ_20260704_232121_lcxi4y.mp4,True,ready
20260728_232630_znnts0,user2,অ,output/user2/অ/অ_20260728_232630_znnts0.mp4,True,ready
20260728_232652_hdsmyh,user2,অ,output/user2/অ/অ_20260728_232652_hdsmyh.mp4,True,ready
20260728_232714_hincfq,user2,অ,output/user2/অ/অ_20260728_232714_hincfq.mp4,True,ready
20260728_232741_j1gvgu,user2,অ,output/user2/অ/অ_20260728_232741_j1gvgu.mp4,True,ready
20260704_232148_mqf5ea,user2,আ,output/user2/আ/আ_20260704_232148_mqf5ea.mp4,True,ready
20260728_232436_9i4gi8,user2,আ,output/user2/আ/আ_20260728_232436_9i4gi8.mp4,True,ready
20260728_232459_m6l3cf,user2,আ,output/user2/আ/আ_20260728_232459_m6l3cf.mp4,True,ready
20260728_232520_l4uaan,user2,আ,output/user2/আ/আ_20260728_232520_l4uaan.mp4,True,ready
20260728_232556_dwfz7c,user2,আ,output/user2/আ/আ_20260728_232556_dwfz7c.mp4,True,ready
20260704_232218_jf6rio,user2,ই,output/user2/ই/ই_20260704_232218_jf6rio.mp4,True,ready
20260728_232810_781yo6,user2,ই,output/user2/ই/ই_20260728_232810_781yo6.mp4,True,ready
20260728_232836_pvgrxn,user2,ই,output/user2/ই/ই_20260728_232836_pvgrxn.mp4,True,ready
20260728_233118_pcjncu,user2,ই,output/user2/ই/ই_20260728_233118_pcjncu.mp4,True,ready
20260728_233205_n417cm,user2,ই,output/user2/ই/ই_20260728_233205_n417cm.mp4,True,ready
20260704_232243_1fsapx,user2,ঈ,output/user2/ঈ/ঈ_20260704_232243_1fsapx.mp4,True,ready
20260728_233238_q39ioy,user2,ঈ,output/user2/ঈ/ঈ_20260728_233238_q39ioy.mp4,True,ready
20260728_233302_e8k0ge,user2,ঈ,output/user2/ঈ/ঈ_20260728_233302_e8k0ge.mp4,True,ready
20260728_233333_nvf18a,user2,ঈ,output/user2/ঈ/ঈ_20260728_233333_nvf18a.mp4,True,ready
20260728_233359_9wg8n4,user2,ঈ,output/user2/ঈ/ঈ_20260728_233359_9wg8n4.mp4,True,ready
20260711_200812_18txgi,user3,অ,output/user3/অ/অ_20260711_200812_18txgi.mp4,True,ready
20260711_200917_z1na4w,user3,অ,output/user3/অ/অ_20260711_200917_z1na4w.mp4,True,ready
20260711_200954_0muns4,user3,অ,output/user3/অ/অ_20260711_200954_0muns4.mp4,True,ready
20260711_201110_jw6cqh,user3,অ,output/user3/অ/অ_20260711_201110_jw6cqh.mp4,True,ready
20260711_201208_6ylgz1,user3,অ,output/user3/অ/অ_20260711_201208_6ylgz1.mp4,True,ready
20260711_201526_9elfv0,user3,অ,output/user3/অ/অ_20260711_201526_9elfv0.mp4,True,ready
20260711_201609_iv7642,user3,অ,output/user3/অ/অ_20260711_201609_iv7642.mp4,True,ready
20260711_201811_0znu6g,user3,অ,output/user3/অ/অ_20260711_201811_0znu6g.mp4,True,ready
20260711_201916_nc9ara,user3,অ,output/user3/অ/অ_20260711_201916_nc9ara.mp4,True,ready
20260711_201953_sai9ew,user3,অ,output/user3/অ/অ_20260711_201953_sai9ew.mp4,True,ready
20260711_202025_bntr0i,user3,অ,output/user3/অ/অ_20260711_202025_bntr0i.mp4,True,ready
20260711_202714_mwa7m1,user3,অ,output/user3/অ/অ_20260711_202714_mwa7m1.mp4,True,ready
20260711_202846_kmy51g,user3,অ,output/user3/অ/অ_20260711_202846_kmy51g.mp4,True,ready
20260711_203013_i4o0om,user3,অ,output/user3/অ/অ_20260711_203013_i4o0om.mp4,True,ready
20260711_203112_15gnzj,user3,অ,output/user3/অ/অ_20260711_203112_15gnzj.mp4,True,ready
20260711_205524_jbk5pv,user3,আ,output/user3/আ/আ_20260711_205524_jbk5pv.mp4,True,ready
20260711_205559_azslan,user3,আ,output/user3/আ/আ_20260711_205559_azslan.mp4,True,ready
20260711_205630_gydvnp,user3,আ,output/user3/আ/আ_20260711_205630_gydvnp.mp4,True,ready
20260711_205707_n57400,user3,আ,output/user3/আ/আ_20260711_205707_n57400.mp4,True,ready
20260711_205748_usnulf,user3,আ,output/user3/আ/আ_20260711_205748_usnulf.mp4,True,ready
20260711_211455_ab7vb3,user4,অ,output/user4/অ/অ_20260711_211455_ab7vb3.mp4,True,ready
20260711_214733_y28o8p,user4,অ,output/user4/অ/অ_20260711_214733_y28o8p.mp4,True,ready
20260711_214747_h8ad4n,user4,অ,output/user4/অ/অ_20260711_214747_h8ad4n.mp4,True,ready
20260711_214802_iotb3d,user4,অ,output/user4/অ/অ_20260711_214802_iotb3d.mp4,True,ready
20260711_214818_1kqyjw,user4,অ,output/user4/অ/অ_20260711_214818_1kqyjw.mp4,True,ready
20260711_214838_nmfk2j,user4,অ,output/user4/অ/অ_20260711_214838_nmfk2j.mp4,True,ready
20260711_214856_wh1jdl,user4,অ,output/user4/অ/অ_20260711_214856_wh1jdl.mp4,True,ready
20260711_214912_5jyzoq,user4,অ,output/user4/অ/অ_20260711_214912_5jyzoq.mp4,True,ready
20260711_215025_9ahjj1,user4,অ,output/user4/অ/অ_20260711_215025_9ahjj1.mp4,True,ready
20260711_215040_totmvz,user4,অ,output/user4/অ/অ_20260711_215040_totmvz.mp4,True,ready
20260711_215057_m3q3bw,user4,অ,output/user4/অ/অ_20260711_215057_m3q3bw.mp4,True,ready
20260711_215120_wa3iw4,user4,অ,output/user4/অ/অ_20260711_215120_wa3iw4.mp4,True,ready
20260711_215140_jzmdn9,user4,অ,output/user4/অ/অ_20260711_215140_jzmdn9.mp4,True,ready
20260711_215153_8dj6mi,user4,অ,output/user4/অ/অ_20260711_215153_8dj6mi.mp4,True,ready
20260711_215210_14cuph,user4,অ,output/user4/অ/অ_20260711_215210_14cuph.mp4,True,ready
20260711_215224_s1nefb,user4,অ,output/user4/অ/অ_20260711_215224_s1nefb.mp4,True,ready
20260711_211553_8q738s,user4,আ,output/user4/আ/আ_20260711_211553_8q738s.mp4,True,ready
20260711_215326_rdw0i7,user4,আ,output/user4/আ/আ_20260711_215326_rdw0i7.mp4,True,ready
20260711_215355_gtir0d,user4,আ,output/user4/আ/আ_20260711_215355_gtir0d.mp4,True,ready
20260711_215413_4z3pac,user4,আ,output/user4/আ/আ_20260711_215413_4z3pac.mp4,True,ready
20260711_215505_noe4fp,user4,আ,output/user4/আ/আ_20260711_215505_noe4fp.mp4,True,ready
20260711_215527_oaoi6c,user4,আ,output/user4/আ/আ_20260711_215527_oaoi6c.mp4,True,ready
20260711_215554_41w3p4,user4,আ,output/user4/আ/আ_20260711_215554_41w3p4.mp4,True,ready
20260711_215623_q6sua3,user4,আ,output/user4/আ/আ_20260711_215623_q6sua3.mp4,True,ready
20260711_215646_y25z4x,user4,আ,output/user4/আ/আ_20260711_215646_y25z4x.mp4,True,ready
20260711_215701_i0we24,user4,আ,output/user4/আ/আ_20260711_215701_i0we24.mp4,True,ready
20260711_215719_fym8k2,user4,আ,output/user4/আ/আ_20260711_215719_fym8k2.mp4,True,ready
20260711_215732_e3wli4,user4,আ,output/user4/আ/আ_20260711_215732_e3wli4.mp4,True,ready
20260711_215746_pw5glc,user4,আ,output/user4/আ/আ_20260711_215746_pw5glc.mp4,True,ready
20260711_215803_gtb1nz,user4,আ,output/user4/আ/আ_20260711_215803_gtb1nz.mp4,True,ready
20260711_215826_09me7o,user4,আ,output/user4/আ/আ_20260711_215826_09me7o.mp4,True,ready
20260711_215850_2a6qfe,user4,আ,output/user4/আ/আ_20260711_215850_2a6qfe.mp4,True,ready
20260711_211613_pni7yl,user4,ই,output/user4/ই/ই_20260711_211613_pni7yl.mp4,True,ready
20260711_211631_omhqof,user4,ই,output/user4/ই/ই_20260711_211631_omhqof.mp4,True,ready
20260711_215916_5xq3ym,user4,ই,output/user4/ই/ই_20260711_215916_5xq3ym.mp4,True,ready
20260711_215928_ckxbi5,user4,ই,output/user4/ই/ই_20260711_215928_ckxbi5.mp4,True,ready
20260711_215945_ovgs11,user4,ই,output/user4/ই/ই_20260711_215945_ovgs11.mp4,True,ready
20260711_215959_axw0jl,user4,ই,output/user4/ই/ই_20260711_215959_axw0jl.mp4,True,ready
20260711_220013_x16qxh,user4,ই,output/user4/ই/ই_20260711_220013_x16qxh.mp4,True,ready
20260711_220027_1j40u6,user4,ই,output/user4/ই/ই_20260711_220027_1j40u6.mp4,True,ready
20260711_220043_yyhe4o,user4,ই,output/user4/ই/ই_20260711_220043_yyhe4o.mp4,True,ready
20260711_220058_6cy90j,user4,ই,output/user4/ই/ই_20260711_220058_6cy90j.mp4,True,ready
20260711_220112_94lc88,user4,ই,output/user4/ই/ই_20260711_220112_94lc88.mp4,True,ready
20260711_220132_3b6d70,user4,ই,output/user4/ই/ই_20260711_220132_3b6d70.mp4,True,ready
20260711_220151_kjuuzh,user4,ই,output/user4/ই/ই_20260711_220151_kjuuzh.mp4,True,ready
20260711_220205_cr3boy,user4,ই,output/user4/ই/ই_20260711_220205_cr3boy.mp4,True,ready
20260711_220217_85rgxu,user4,ই,output/user4/ই/ই_20260711_220217_85rgxu.mp4,True,ready
20260711_220235_4uai7u,user4,ই,output/user4/ই/ই_20260711_220235_4uai7u.mp4,True,ready
20260711_220308_e7l7wm,user4,ই,output/user4/ই/ই_20260711_220308_e7l7wm.mp4,True,ready
20260711_220404_itceug,user4,ঈ,output/user4/ঈ/ঈ_20260711_220404_itceug.mp4,True,ready
20260711_220444_r35mfs,user4,ঈ,output/user4/ঈ/ঈ_20260711_220444_r35mfs.mp4,True,ready
20260711_220519_ila5ji,user4,ঈ,output/user4/ঈ/ঈ_20260711_220519_ila5ji.mp4,True,ready
20260711_220543_7o5bd0,user4,ঈ,output/user4/ঈ/ঈ_20260711_220543_7o5bd0.mp4,True,ready
20260711_220606_essesa,user4,ঈ,output/user4/ঈ/ঈ_20260711_220606_essesa.mp4,True,ready
20260711_220641_ufswp1,user4,ঈ,output/user4/ঈ/ঈ_20260711_220641_ufswp1.mp4,True,ready
20260711_220701_y1rftt,user4,ঈ,output/user4/ঈ/ঈ_20260711_220701_y1rftt.mp4,True,ready
20260711_220721_h9k2mi,user4,ঈ,output/user4/ঈ/ঈ_20260711_220721_h9k2mi.mp4,True,ready
20260711_220738_j2qzn6,user4,ঈ,output/user4/ঈ/ঈ_20260711_220738_j2qzn6.mp4,True,ready
20260711_220751_axw80l,user4,ঈ,output/user4/ঈ/ঈ_20260711_220751_axw80l.mp4,True,ready
20260711_220807_mldxj2,user4,ঈ,output/user4/ঈ/ঈ_20260711_220807_mldxj2.mp4,True,ready
20260711_220822_wgaxvc,user4,ঈ,output/user4/ঈ/ঈ_20260711_220822_wgaxvc.mp4,True,ready
20260711_220837_dby4gx,user4,ঈ,output/user4/ঈ/ঈ_20260711_220837_dby4gx.mp4,True,ready
20260711_220850_xo5kch,user4,ঈ,output/user4/ঈ/ঈ_20260711_220850_xo5kch.mp4,True,ready
20260711_220906_ehc737,user4,ঈ,output/user4/ঈ/ঈ_20260711_220906_ehc737.mp4,True,ready
