sample_id,source_sample_id,user_id,label,role,outer_fold_id,inner_fold_id
20260728_232316_s2ep8l__outer00__inner00__aug03,20260728_232316_s2ep8l,user1,আ,train,0,0
20260705_210750_hp0ub6__outer00__inner00__aug01,20260705_210750_hp0ub6,user1,ই,train,0,0
20260705_210750_hp0ub6__outer00__inner00__aug02,20260705_210750_hp0ub6,user1,ই,train,0,0
20260705_210750_hp0ub6__outer00__inner00__aug03,20260705_210750_hp0ub6,user1,ই,train,0,0
20260705_210817_cpe63z__outer00__inner00__aug01,20260705_210817_cpe63z,user1,ই,train,0,0
20260705_210817_cpe63z__outer00__inner00__aug02,20260705_210817_cpe63z,user1,ই,train,0,0
20260705_210817_cpe63z__outer00__inner00__aug03,20260705_210817_cpe63z,user1,ই,train,0,0
20260705_210847_8d63gb__outer00__inner00__aug01,20260705_210847_8d63gb,user1,ই,train,0,0
20260705_210847_8d63gb__outer00__inner00__aug02,20260705_210847_8d63gb,user1,ই,train,0,0
20260705_210847_8d63gb__outer00__inner00__aug03,20260705_210847_8d63gb,user1,ই,train,0,0
20260705_210914_6z0wyv__outer00__inner00__aug01,20260705_210914_6z0wyv,user1,ই,train,0,0
20260705_210914_6z0wyv__outer00__inner00__aug02,20260705_210914_6z0wyv,user1,ই,train,0,0
20260705_210914_6z0wyv__outer00__inner00__aug03,20260705_210914_6z0wyv,user1,ই,train,0,0
20260705_211104_cee4mp__outer00__inner00__aug01,20260705_211104_cee4mp,user1,ই,train,0,0
20260705_211104_cee4mp__outer00__inner00__aug02,20260705_211104_cee4mp,user1,ই,train,0,0
20260705_211104_cee4mp__outer00__inner00__aug03,20260705_211104_cee4mp,user1,ই,train,0,0
20260705_211129_q9xd7j__outer00__inner00__aug01,20260705_211129_q9xd7j,user1,ই,train,0,0
20260705_211129_q9xd7j__outer00__inner00__aug02,20260705_211129_q9xd7j,user1,ই,train,0,0
20260705_211129_q9xd7j__outer00__inner00__aug03,20260705_211129_q9xd7j,user1,ই,train,0,0
20260705_211202_fwdefr__outer00__inner00__aug01,20260705_211202_fwdefr,user1,ই,train,0,0
20260705_211202_fwdefr__outer00__inner00__aug02,20260705_211202_fwdefr,user1,ই,train,0,0
20260705_211202_fwdefr__outer00__inner00__aug03,20260705_211202_fwdefr,user1,ই,train,0,0
20260705_211229_nco6f5__outer00__inner00__aug01,20260705_211229_nco6f5,user1,ই,train,0,0
20260705_211229_nco6f5__outer00__inner00__aug02,20260705_211229_nco6f5,user1,ই,train,0,0
20260705_211229_nco6f5__outer00__inner00__aug03,20260705_211229_nco6f5,user1,ই,train,0,0
20260705_211257_5zxk15__outer00__inner00__aug01,20260705_211257_5zxk15,user1,ই,train,0,0
20260705_211257_5zxk15__outer00__inner00__aug02,20260705_211257_5zxk15,user1,ই,train,0,0
20260705_211257_5zxk15__outer00__inner00__aug03,20260705_211257_5zxk15,user1,ই,train,0,0
20260705_211324_69n6hy__outer00__inner00__aug01,20260705_211324_69n6hy,user1,ই,train,0,0
20260705_211324_69n6hy__outer00__inner00__aug02,20260705_211324_69n6hy,user1,ই,train,0,0
20260705_211324_69n6hy__outer00__inner00__aug03,20260705_211324_69n6hy,user1,ই,train,0,0
20260705_213721_6edrqn__outer00__inner00__aug01,20260705_213721_6edrqn,user1,ঈ,train,0,0
20260705_213721_6edrqn__outer00__inner00__aug02,20260705_213721_6edrqn,user1,ঈ,train,0,0
20260705_213721_6edrqn__outer00__inner00__aug03,20260705_213721_6edrqn,user1,ঈ,train,0,0
20260705_213804_scynf9__outer00__inner00__aug01,20260705_213804_scynf9,user1,ঈ,train,0,0
20260705_213804_scynf9__outer00__inner00__aug02,20260705_213804_scynf9,user1,ঈ,train,0,0
20260705_213804_scynf9__outer00__inner00__aug03,20260705_213804_scynf9,user1,ঈ,train,0,0
20260705_213852_tuebtl__outer00__inner00__aug01,20260705_213852_tuebtl,user1,ঈ,train,0,0
20260705_213852_tuebtl__outer00__inner00__aug02,20260705_213852_tuebtl,user1,ঈ,train,0,0
20260705_213852_tuebtl__outer00__inner00__aug03,20260705_213852_tuebtl,user1,ঈ,train,0,0
20260705_213943_7qqvt7__outer00__inner00__aug01,20260705_213943_7qqvt7,user1,ঈ,train,0,0
20260705_213943_7qqvt7__outer00__inner00__aug02,20260705_213943_7qqvt7,user1,ঈ,train,0,0
20260705_213943_7qqvt7__outer00__inner00__aug03,20260705_213943_7qqvt7,user1,ঈ,train,0,0
20260705_214029_z7ddbl__outer00__inner00__aug01,20260705_214029_z7ddbl,user1,ঈ,train,0,0
20260705_214029_z7ddbl__outer00__inner00__aug02,20260705_214029_z7ddbl,user1,ঈ,train,0,0
20260705_214029_z7ddbl__outer00__inner00__aug03,20260705_214029_z7ddbl,user1,ঈ,train,0,0
20260705_214107_b894ld__outer00__inner00__aug01,20260705_214107_b894ld,user1,ঈ,train,0,0
20260705_214107_b894ld__outer00__inner00__aug02,20260705_214107_b894ld,user1,ঈ,train,0,0
20260705_214107_b894ld__outer00__inner00__aug03,20260705_214107_b894ld,user1,ঈ,train,0,0
20260705_215457_yruoxw__outer00__inner00__aug01,20260705_215457_yruoxw,user1,ঈ,train,0,0
20260705_215457_yruoxw__outer00__inner00__aug02,20260705_215457_yruoxw,user1,ঈ,train,0,0
20260705_215457_yruoxw__outer00__inner00__aug03,20260705_215457_yruoxw,user1,ঈ,train,0,0
20260705_215539_dr61qv__outer00__inner00__aug01,20260705_215539_dr61qv,user1,ঈ,train,0,0
20260705_215539_dr61qv__outer00__inner00__aug02,20260705_215539_dr61qv,user1,ঈ,train,0,0
20260705_215539_dr61qv__outer00__inner00__aug03,20260705_215539_dr61qv,user1,ঈ,train,0,0
20260705_215654_07cd7w__outer00__inner00__aug01,20260705_215654_07cd7w,user1,ঈ,train,0,0
20260705_215654_07cd7w__outer00__inner00__aug02,20260705_215654_07cd7w,user1,ঈ,train,0,0
20260705_215654_07cd7w__outer00__inner00__aug03,20260705_215654_07cd7w,user1,ঈ,train,0,0
20260705_215745_i5n9h7__outer00__inner00__aug01,20260705_215745_i5n9h7,user1,ঈ,train,0,0
20260705_215745_i5n9h7__outer00__inner00__aug02,20260705_215745_i5n9h7,user1,ঈ,train,0,0
20260705_215745_i5n9h7__outer00__inner00__aug03,20260705_215745_i5n9h7,user1,ঈ,train,0,0
20260704_232121_lcxi4y__outer00__inner00__aug01,20260704_232121_lcxi4y,user2,অ,train,0,0
20260704_232121_lcxi4y__outer00__inner00__aug02,20260704_232121_lcxi4y,user2,অ,train,0,0
20260704_232121_lcxi4y__outer00__inner00__aug03,20260704_232121_lcxi4y,user2,অ,train,0,0
20260728_232630_znnts0__outer00__inner00__aug01,20260728_232630_znnts0,user2,অ,train,0,0
20260728_232630_znnts0__outer00__inner00__aug02,20260728_232630_znnts0,user2,অ,train,0,0
20260728_232630_znnts0__outer00__inner00__aug03,20260728_232630_znnts0,user2,অ,train,0,0
20260728_232652_hdsmyh__outer00__inner00__aug01,20260728_232652_hdsmyh,user2,অ,train,0,0
20260728_232652_hdsmyh__outer00__inner00__aug02,20260728_232652_hdsmyh,user2,অ,train,0,0
20260728_232652_hdsmyh__outer00__inner00__aug03,20260728_232652_hdsmyh,user2,অ,train,0,0
20260728_232714_hincfq__outer00__inner00__aug01,20260728_232714_hincfq,user2,অ,train,0,0
20260728_232714_hincfq__outer00__inner00__aug02,20260728_232714_hincfq,user2,অ,train,0,0
20260728_232714_hincfq__outer00__inner00__aug03,20260728_232714_hincfq,user2,অ,train,0,0
20260728_232741_j1gvgu__outer00__inner00__aug01,20260728_232741_j1gvgu,user2,অ,train,0,0
20260728_232741_j1gvgu__outer00__inner00__aug02,20260728_232741_j1gvgu,user2,অ,train,0,0
20260728_232741_j1gvgu__outer00__inner00__aug03,20260728_232741_j1gvgu,user2,অ,train,0,0
20260704_232148_mqf5ea__outer00__inner00__aug01,20260704_232148_mqf5ea,user2,আ,train,0,0
20260704_232148_mqf5ea__outer00__inner00__aug02,20260704_232148_mqf5ea,user2,আ,train,0,0
20260704_232148_mqf5ea__outer00__inner00__aug03,20260704_232148_mqf5ea,user2,আ,train,0,0
20260728_232436_9i4gi8__outer00__inner00__aug01,20260728_232436_9i4gi8,user2,আ,train,0,0
20260728_232436_9i4gi8__outer00__inner00__aug02,20260728_232436_9i4gi8,user2,আ,train,0,0
20260728_232436_9i4gi8__outer00__inner00__aug03,20260728_232436_9i4gi8,user2,আ,train,0,0
20260728_232459_m6l3cf__outer00__inner00__aug01,20260728_232459_m6l3cf,user2,আ,train,0,0
20260728_232459_m6l3cf__outer00__inner00__aug02,20260728_232459_m6l3cf,user2,আ,train,0,0
20260728_232459_m6l3cf__outer00__inner00__aug03,20260728_232459_m6l3cf,user2,আ,train,0,0
20260728_232520_l4uaan__outer00__inner00__aug01,20260728_232520_l4uaan,user2,আ,train,0,0
20260728_232520_l4uaan__outer00__inner00__aug02,20260728_232520_l4uaan,user2,আ,train,0,0
20260728_232520_l4uaan__outer00__inner00__aug03,20260728_232520_l4uaan,user2,আ,train,0,0
20260728_232556_dwfz7c__outer00__inner00__aug01,20260728_232556_dwfz7c,user2,আ,train,0,0
20260728_232556_dwfz7c__outer00__inner00__aug02,20260728_232556_dwfz7c,user2,আ,train,0,0
20260728_232556_dwfz7c__outer00__inner00__aug03,20260728_232556_dwfz7c,user2,আ,train,0,0
20260704_232218_jf6rio__outer00__inner00__aug01,20260704_232218_jf6rio,user2,ই,train,0,0
20260704_232218_jf6rio__outer00__inner00__aug02,20260704_232218_jf6rio,user2,ই,train,0,0
20260704_232218_jf6rio__outer00__inner00__aug03,20260704_232218_jf6rio,user2,ই,train,0,0
20260728_232810_781yo6__outer00__inner00__aug01,20260728_232810_781yo6,user2,ই,train,0,0
20260728_232810_781yo6__outer00__inner00__aug02,20260728_232810_781yo6,user2,ই,train,0,0
20260728_232810_781yo6__outer00__inner00__aug03,20260728_232810_781yo6,user2,ই,train,0,0
20260728_232836_pvgrxn__outer00__inner00__aug01,20260728_232836_pvgrxn,user2,ই,train,0,0
20260728_232836_pvgrxn__outer00__inner00__aug02,20260728_232836_pvgrxn,user2,ই,train,0,0
20260728_232836_pvgrxn__outer00__inner00__aug03,20260728_232836_pvgrxn,user2,ই,train,0,0
20260728_233118_pcjncu__outer00__inner00__aug01,20260728_233118_pcjncu,user2,ই,train,0,0
20260728_233118_pcjncu__outer00__inner00__aug02,20260728_233118_pcjncu,user2,ই,train,0,0
20260728_233118_pcjncu__outer00__inner00__aug03,20260728_233118_pcjncu,user2,ই,train,0,0
20260728_233205_n417cm__outer00__inner00__aug01,20260728_233205_n417cm,user2,ই,train,0,0
20260728_233205_n417cm__outer00__inner00__aug02,20260728_233205_n417cm,user2,ই,train,0,0
20260728_233205_n417cm__outer00__inner00__aug03,20260728_233205_n417cm,user2,ই,train,0,0
20260704_232243_1fsapx__outer00__inner00__aug01,20260704_232243_1fsapx,user2,ঈ,train,0,0
20260704_232243_1fsapx__outer00__inner00__aug02,20260704_232243_1fsapx,user2,ঈ,train,0,0
20260704_232243_1fsapx__outer00__inner00__aug03,20260704_232243_1fsapx,user2,ঈ,train,0,0
20260728_233238_q39ioy__outer00__inner00__aug01,20260728_233238_q39ioy,user2,ঈ,train,0,0
20260728_233238_q39ioy__outer00__inner00__aug02,20260728_233238_q39ioy,user2,ঈ,train,0,0
20260728_233238_q39ioy__outer00__inner00__aug03,20260728_233238_q39ioy,user2,ঈ,train,0,0
20260728_233302_e8k0ge__outer00__inner00__aug01,20260728_233302_e8k0ge,user2,ঈ,train,0,0
20260728_233302_e8k0ge__outer00__inner00__aug02,20260728_233302_e8k0ge,user2,ঈ,train,0,0
20260728_233302_e8k0ge__outer00__inner00__aug03,20260728_233302_e8k0ge,user2,ঈ,train,0,0
20260728_233333_nvf18a__outer00__inner00__aug01,20260728_233333_nvf18a,user2,ঈ,train,0,0
20260728_233333_nvf18a__outer00__inner00__aug02,20260728_233333_nvf18a,user2,ঈ,train,0,0
20260728_233333_nvf18a__outer00__inner00__aug03,20260728_233333_nvf18a,user2,ঈ,train,0,0
20260728_233359_9wg8n4__outer00__inner00__aug01,20260728_233359_9wg8n4,user2,ঈ,train,0,0
20260728_233359_9wg8n4__outer00__inner00__aug02,20260728_233359_9wg8n4,user2,ঈ,train,0,0
20260728_233359_9wg8n4__outer00__inner00__aug03,20260728_233359_9wg8n4,user2,ঈ,train,0,0
20260711_200812_18txgi__outer00__inner00__aug01,20260711_200812_18txgi,user3,অ,train,0,0
20260711_200812_18txgi__outer00__inner00__aug02,20260711_200812_18txgi,user3,অ,train,0,0
20260711_200812_18txgi__outer00__inner00__aug03,20260711_200812_18txgi,user3,অ,train,0,0
20260711_200917_z1na4w__outer00__inner00__aug01,20260711_200917_z1na4w,user3,অ,train,0,0
20260711_200917_z1na4w__outer00__inner00__aug02,20260711_200917_z1na4w,user3,অ,train,0,0
20260711_200917_z1na4w__outer00__inner00__aug03,20260711_200917_z1na4w,user3,অ,train,0,0
20260711_200954_0muns4__outer00__inner00__aug01,20260711_200954_0muns4,user3,অ,train,0,0
20260711_200954_0muns4__outer00__inner00__aug02,20260711_200954_0muns4,user3,অ,train,0,0
20260711_200954_0muns4__outer00__inner00__aug03,20260711_200954_0muns4,user3,অ,train,0,0
20260711_201110_jw6cqh__outer00__inner00__aug01,20260711_201110_jw6cqh,user3,অ,train,0,0
20260711_201110_jw6cqh__outer00__inner00__aug02,20260711_201110_jw6cqh,user3,অ,train,0,0
20260711_201110_jw6cqh__outer00__inner00__aug03,20260711_201110_jw6cqh,user3,অ,train,0,0
20260711_201208_6ylgz1__outer00__inner00__aug01,20260711_201208_6ylgz1,user3,অ,train,0,0
20260711_201208_6ylgz1__outer00__inner00__aug02,20260711_201208_6ylgz1,user3,অ,train,0,0
20260711_201208_6ylgz1__outer00__inner00__aug03,20260711_201208_6ylgz1,user3,অ,train,0,0
20260711_201526_9elfv0__outer00__inner00__aug01,20260711_201526_9elfv0,user3,অ,train,0,0
20260711_201526_9elfv0__outer00__inner00__aug02,20260711_201526_9elfv0,user3,অ,train,0,0
20260711_201526_9elfv0__outer00__inner00__aug03,20260711_201526_9elfv0,user3,অ,train,0,0
20260711_201609_iv7642__outer00__inner00__aug01,20260711_201609_iv7642,user3,অ,train,0,0
20260711_201609_iv7642__outer00__inner00__aug02,20260711_201609_iv7642,user3,অ,train,0,0
20260711_201609_iv7642__outer00__inner00__aug03,20260711_201609_iv7642,user3,অ,train,0,0
20260711_201811_0znu6g__outer00__inner00__aug01,20260711_201811_0znu6g,user3,অ,train,0,0
20260711_201811_0znu6g__outer00__inner00__aug02,20260711_201811_0znu6g,user3,অ,train,0,0
20260711_201811_0znu6g__outer00__inner00__aug03,20260711_201811_0znu6g,user3,অ,train,0,0
20260711_201916_nc9ara__outer00__inner00__aug01,20260711_201916_nc9ara,user3,অ,train,0,0
20260711_201916_nc9ara__outer00__inner00__aug02,20260711_201916_nc9ara,user3,অ,train,0,0
20260711_201916_nc9ara__outer00__inner00__aug03,20260711_201916_nc9ara,user3,অ,train,0,0
20260711_201953_sai9ew__outer00__inner00__aug01,20260711_201953_sai9ew,user3,অ,train,0,0
20260711_201953_sai9ew__outer00__inner00__aug02,20260711_201953_sai9ew,user3,অ,train,0,0
20260711_201953_sai9ew__outer00__inner00__aug03,20260711_201953_sai9ew,user3,অ,train,0,0
20260711_202025_bntr0i__outer00__inner00__aug01,20260711_202025_bntr0i,user3,অ,train,0,0
20260711_202025_bntr0i__outer00__inner00__aug02,20260711_202025_bntr0i,user3,অ,train,0,0
20260711_202025_bntr0i__outer00__inner00__aug03,20260711_202025_bntr0i,user3,অ,train,0,0
20260711_202714_mwa7m1__outer00__inner00__aug01,20260711_202714_mwa7m1,user3,অ,train,0,0
20260711_202714_mwa7m1__outer00__inner00__aug02,20260711_202714_mwa7m1,user3,অ,train,0,0
20260711_202714_mwa7m1__outer00__inner00__aug03,20260711_202714_mwa7m1,user3,অ,train,0,0
20260711_202846_kmy51g__outer00__inner00__aug01,20260711_202846_kmy51g,user3,অ,train,0,0
20260711_202846_kmy51g__outer00__inner00__aug02,20260711_202846_kmy51g,user3,অ,train,0,0
20260711_202846_kmy51g__outer00__inner00__aug03,20260711_202846_kmy51g,user3,অ,train,0,0
20260711_203013_i4o0om__outer00__inner00__aug01,20260711_203013_i4o0om,user3,অ,train,0,0
20260711_203013_i4o0om__outer00__inner00__aug02,20260711_203013_i4o0om,user3,অ,train,0,0
20260711_203013_i4o0om__outer00__inner00__aug03,20260711_203013_i4o0om,user3,অ,train,0,0
20260711_203112_15gnzj__outer00__inner00__aug01,20260711_203112_15gnzj,user3,অ,train,0,0
20260711_203112_15gnzj__outer00__inner00__aug02,20260711_203112_15gnzj,user3,অ,train,0,0
20260711_203112_15gnzj__outer00__inner00__aug03,20260711_203112_15gnzj,user3,অ,train,0,0
20260711_205524_jbk5pv__outer00__inner00__aug01,20260711_205524_jbk5pv,user3,আ,train,0,0
20260711_205524_jbk5pv__outer00__inner00__aug02,20260711_205524_jbk5pv,user3,আ,train,0,0
20260711_205524_jbk5pv__outer00__inner00__aug03,20260711_205524_jbk5pv,user3,আ,train,0,0
20260711_205559_azslan__outer00__inner00__aug01,20260711_205559_azslan,user3,আ,train,0,0
20260711_205559_azslan__outer00__inner00__aug02,20260711_205559_azslan,user3,আ,train,0,0
20260711_205559_azslan__outer00__inner00__aug03,20260711_205559_azslan,user3,আ,train,0,0
20260711_205630_gydvnp__outer00__inner00__aug01,20260711_205630_gydvnp,user3,আ,train,0,0
20260711_205630_gydvnp__outer00__inner00__aug02,20260711_205630_gydvnp,user3,আ,train,0,0
20260711_205630_gydvnp__outer00__inner00__aug03,20260711_205630_gydvnp,user3,আ,train,0,0
20260711_205707_n57400__outer00__inner00__aug01,20260711_205707_n57400,user3,আ,train,0,0
20260711_205707_n57400__outer00__inner00__aug02,20260711_205707_n57400,user3,আ,train,0,0
20260711_205707_n57400__outer00__inner00__aug03,20260711_205707_n57400,user3,আ,train,0,0
20260711_205748_usnulf__outer00__inner00__aug01,20260711_205748_usnulf,user3,আ,train,0,0
20260711_205748_usnulf__outer00__inner00__aug02,20260711_205748_usnulf,user3,আ,train,0,0
20260711_205748_usnulf__outer00__inner00__aug03,20260711_205748_usnulf,user3,আ,train,0,0
20260704_232121_lcxi4y__outer00__inner01__aug01,20260704_232121_lcxi4y,user2,অ,train,0,1
20260704_232121_lcxi4y__outer00__inner01__aug02,20260704_232121_lcxi4y,user2,অ,train,0,1
20260704_232121_lcxi4y__outer00__inner01__aug03,20260704_232121_lcxi4y,user2,অ,train,0,1
20260728_232630_znnts0__outer00__inner01__aug01,20260728_232630_znnts0,user2,অ,train,0,1
20260728_232630_znnts0__outer00__inner01__aug02,20260728_232630_znnts0,user2,অ,train,0,1
20260728_232630_znnts0__outer00__inner01__aug03,20260728_232630_znnts0,user2,অ,train,0,1
20260728_232652_hdsmyh__outer00__inner01__aug01,20260728_232652_hdsmyh,user2,অ,train,0,1
20260728_232652_hdsmyh__outer00__inner01__aug02,20260728_232652_hdsmyh,user2,অ,train,0,1
20260728_232652_hdsmyh__outer00__inner01__aug03,20260728_232652_hdsmyh,user2,অ,train,0,1
20260728_232714_hincfq__outer00__inner01__aug01,20260728_232714_hincfq,user2,অ,train,0,1
20260728_232714_hincfq__outer00__inner01__aug02,20260728_232714_hincfq,user2,অ,train,0,1
20260728_232714_hincfq__outer00__inner01__aug03,20260728_232714_hincfq,user2,অ,train,0,1
20260728_232741_j1gvgu__outer00__inner01__aug01,20260728_232741_j1gvgu,user2,অ,train,0,1
20260728_232741_j1gvgu__outer00__inner01__aug02,20260728_232741_j1gvgu,user2,অ,train,0,1
20260728_232741_j1gvgu__outer00__inner01__aug03,20260728_232741_j1gvgu,user2,অ,train,0,1
20260704_232148_mqf5ea__outer00__inner01__aug01,20260704_232148_mqf5ea,user2,আ,train,0,1
20260704_232148_mqf5ea__outer00__inner01__aug02,20260704_232148_mqf5ea,user2,আ,train,0,1
20260704_232148_mqf5ea__outer00__inner01__aug03,20260704_232148_mqf5ea,user2,আ,train,0,1
20260728_232436_9i4gi8__outer00__inner01__aug01,20260728_232436_9i4gi8,user2,আ,train,0,1
20260728_232436_9i4gi8__outer00__inner01__aug02,20260728_232436_9i4gi8,user2,আ,train,0,1
20260728_232436_9i4gi8__outer00__inner01__aug03,20260728_232436_9i4gi8,user2,আ,train,0,1
20260728_232459_m6l3cf__outer00__inner01__aug01,20260728_232459_m6l3cf,user2,আ,train,0,1
20260728_232459_m6l3cf__outer00__inner01__aug02,20260728_232459_m6l3cf,user2,আ,train,0,1
20260728_232459_m6l3cf__outer00__inner01__aug03,20260728_232459_m6l3cf,user2,আ,train,0,1
20260728_232520_l4uaan__outer00__inner01__aug01,20260728_232520_l4uaan,user2,আ,train,0,1
20260728_232520_l4uaan__outer00__inner01__aug02,20260728_232520_l4uaan,user2,আ,train,0,1
20260728_232520_l4uaan__outer00__inner01__aug03,20260728_232520_l4uaan,user2,আ,train,0,1
20260728_232556_dwfz7c__outer00__inner01__aug01,20260728_232556_dwfz7c,user2,আ,train,0,1
20260728_232556_dwfz7c__outer00__inner01__aug02,20260728_232556_dwfz7c,user2,আ,train,0,1
